Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg Run Cadence,Max Run Cadence,Training Stress Score®,Avg Power,Max Power,Grit,Flow,Avg. Swolf,Avg Stroke Rate,Total Reps,Dive Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,2022-01-31 17:57:29,false,"Reading - Tired Run","4.83","291","00:34:11","167","188","178","186","7:05","5:55","26","25","0.80","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","05:45.08.2","5","0.0","00:34:10","00:34:11","35","60"
Running,2022-01-29 13:47:56,false,"Reading - Negative Split R","10.03","615","01:16:33","164","184","174","190","7:38","6:44","66","64","0.74","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:19.75","11","0.0","01:16:32","01:16:47","35","86"
Running,2022-01-25 18:15:40,false,"Reading - Easy Run","8.05","410","00:57:32","145","170","177","195","7:09","4:32","57","62","0.79","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:09.78.6","10","0.0","00:57:26","00:57:32","27","63"
Running,2022-01-24 18:22:36,false,"Reading - Tired Run","4.83","286","00:33:24","167","181","177","188","6:55","6:00","10","15","0.82","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","05:19.38.5","5","0.0","00:33:22","00:33:24","36","47"
Running,2022-01-22 15:19:00,false,"Reading - Negative Split R","12.87","662","01:44:42","143","176","175","189","8:08","6:59","36","42","0.70","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:10.41.3","15","0.0","01:44:21","01:44:42","28","52"
Running,2022-01-20 18:35:47,false,"Reading - Cadence Drills","6.44","336","00:43:33","155","180","181","190","6:46","5:37","75","78","0.82","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","01:18.47.2","8","0.0","00:43:27","00:43:33","32","85"
Running,2022-01-18 18:09:35,false,"Reading - Easy Run","8.05","449","00:56:12","162","181","177","186","6:59","5:49","25","25","0.81","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:09.05.2","10","0.0","00:56:09","00:56:12","23","51"
Running,2022-01-17 18:09:41,false,"Reading - Tired Run","4.83","270","00:36:30","154","178","175","185","7:34","6:54","11","10","0.75","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","05:57.00","5","0.0","00:36:24","00:36:30","34","62"
Running,2022-01-15 13:28:26,false,"Reading - Negative Split R","14.49","857","01:56:23","161","169","175","192","8:02","5:29","66","77","0.71","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:05.90.1","18","0.0","01:56:05","01:56:29","35","65"
Running,2022-01-03 13:02:18,false,"Strovolos - Tired Run","4.83","275","00:33:49","161","190","183","194","7:00","5:22","34","33","0.78","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","05:04.04.4","5","0.0","00:33:47","00:33:49","176","191"
Running,2022-01-01 12:26:52,false,"Strovolos - Negative Split R","14.48","881","01:50:54","167","178","179","190","7:39","6:21","110","107","0.73","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:11.13.5","17","0.0","01:50:46","01:50:54","176","190"
Running,2021-12-28 09:06:19,false,"Strovolos - Easy Run","6.44","367","00:44:04","165","180","182","193","6:51","5:49","37","39","0.80","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","02:40.25.5","7","0.0","00:44:02","00:44:04","176","191"
Running,2021-12-27 10:15:39,false,"Strovolos - Tired Run","4.83","281","00:34:47","161","189","181","192","7:12","5:35","34","32","0.77","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","05:17.59.6","5","0.0","00:34:45","00:34:47","177","191"
Running,2021-12-25 10:45:09,false,"Strovolos - Negative Split R","12.87","752","01:35:09","166","181","178","188","7:23","6:06","97","98","0.76","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:10.54.6","15","0.0","01:35:05","01:35:09","176","190"
Running,2021-12-23 16:38:11,false,"Strovolos - Cadence Drills","4.83","285","00:33:08","169","184","178","193","6:52","5:54","22","25","0.82","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","01:24.88","7","0.0","00:33:06","00:33:08","176","191"
Running,2021-12-22 17:15:06,false,"Strovolos - Easy Run","6.44","390","00:46:57","166","184","178","193","7:18","6:12","210","181","0.77","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","02:49.67.1","7","0.0","00:46:43","00:46:57","120","176"
Running,2021-12-20 18:10:20,false,"Strovolos - Tired Run","4.83","275","00:33:44","162","172","179","187","6:59","6:27","9","10","0.80","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","05:43.03.1","5","0.0","00:33:43","00:33:44","172","184"
Running,2021-12-18 11:15:48,false,"Strovolos - Negative Split R","12.87","780","01:33:16","168","182","175","190","7:15","6:03","87","81","0.79","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:10.75.6","15","0.0","01:33:05","01:34:51","161","214"
Running,2021-12-15 17:48:31,false,"Reading - Hill Repeats","3.53","204","00:26:34","158","179","170","191","7:31","6:20","9","7","0.79","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:02.59.5","25","0.0","00:26:11","00:27:06","38","47"
Running,2021-12-14 18:05:52,false,"Reading - Easy Run","6.44","376","00:46:22","160","186","177","188","7:12","6:01","13","11","0.78","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","03:02.59.1","7","0.0","00:46:18","00:46:22","33","63"
Running,2021-12-13 18:19:55,false,"Reading - Tired Run","3.22","187","00:22:49","159","182","177","188","7:05","0:50","127","105","0.80","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","01:42.49.1","4","0.0","00:22:31","00:22:49","37","73"
Running,2021-12-11 12:52:04,false,"Reading - Negative Split R","8.05","478","00:57:38","164","185","176","188","7:10","6:00","129","123","0.79","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:06.65.9","10","0.0","00:57:28","00:57:38","35","101"
Running,2021-12-09 18:15:28,false,"Reading - Cadence Drills","3.22","186","00:21:23","163","179","181","193","6:38","5:46","2","7","0.83","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","03:46.97.2","4","0.0","00:21:15","00:21:23","38","44"
Running,2021-12-07 18:09:40,false,"Reading - Easy Run","6.44","389","00:46:49","162","182","175","188","7:16","6:19","48","44","0.78","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","03:07.57.2","7","0.0","00:46:48","00:46:49","35","83"
Running,2021-12-06 18:02:35,false,"Reading - Tired Run","3.22","171","00:23:32","146","169","179","190","7:19","6:02","44","41","0.77","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","01:54.98.7","4","0.0","00:23:30","00:23:32","36","67"
Running,2021-12-04 12:27:09,false,"Reading - Negative Split R","10.46","608","01:16:36","161","177","173","186","7:19","5:49","46","45","0.79","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","01:35.38.7","12","0.0","01:16:30","01:16:36","34","78"
Running,2021-12-02 18:09:49,false,"Reading - Pace Run","3.22","189","00:20:13","171","190","178","190","6:17","5:05","3","3","0.89","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","03:33.41.7","4","0.0","00:20:11","00:20:13","39","45"
